Blood(T_helper_naive_cells)	Brain(Germinal_Matrix)	Heart(Right_Atrium)
DUSP10	7.847	7.008	3.274
DUSP11	16.702	8.422	6.638
DUSP12	26.356	23.239	6.373
DUSP13	0.044	0.012	8.98
DUSP15	0.0	1.768	3.233
DUSP16	23.4	8.772	3.367
DUSP18	2.953	11.144	1.417
DUSP19	0.044	0.862	8.021
DUSP2	55.122	0.643	1.79
DUSP21	0.0	0.0	0.0
DUSP22	18.628	14.626	36.01
DUSP23	4.405	11.134	28.514
DUSP26	0.021	41.44	34.693
DUSP27	0.0	0.052	80.45
DUSP28	7.425	1.818	3.001
DUSP3	3.381	10.885	94.749
DUSP4	0.69	1.929	1.407
DUSP5	5.65	0.979	17.855
DUSP6	2.088	2.961	14.427
DUSP7	4.23	2.218	11.861
DUSP8	28.242	33.791	13.797
DUSP9	0.0	0.909	0.021
DUT	16.408	20.693	23.113
DUX4L4	0.0	0.0	0.0
DUXA	0.0	0.0	0.0
DVL1	14.934	29.986	60.265
DVL2	14.522	35.619	11.108
DVL3	21.876	99.72	30.374
DXO	23.273	17.624	10.7
DYDC1	0.0	0.0	0.0
DYDC2	0.0	0.468	0.009
DYM	26.827	33.589	12.427
DYNAP	0.0	0.0	0.0
DYNC1H1	38.856	107.408	34.507
DYNC1I1	0.019	11.288	7.148
DYNC1I2	6.154	87.404	22.483
DYNC1LI1	5.788	14.839	18.819
DYNC1LI2	29.952	37.211	39.617
DYNC2H1	0.777	2.521	0.957
DYNC2LI1	1.04	3.935	4.881
DYNLL1	3.675	174.553	60.447
DYNLRB1	13.327	64.207	42.547
DYNLRB2	0.239	1.064	0.21
DYNLT1	148.472	48.899	27.764
DYNLT3	15.001	3.173	15.442
DYRK1A	45.861	17.163	22.097
DYRK1B	4.37	25.265	14.224
DYRK2	46.529	5.791	10.988
DYRK3	0.025	2.731	8.418
DYRK4	1.542	2.544	5.094
DYSF	0.599	0.173	21.774
DYTN	0.02	0.013	0.0
DYX1C1	5.136	3.868	13.934
DZANK1	1.202	2.15	0.342
DZIP1	0.0	8.371	1.558
DZIP1L	0.054	1.151	1.318
DZIP3	8.002	6.008	7.194
E2F1	1.32	17.642	0.588
E2F2	0.534	7.057	0.04
E2F3	5.376	4.903	3.969
E2F4	50.308	22.363	29.467
E2F5	5.351	6.277	0.923
E2F6	1.548	1.854	7.34
E2F7	0.088	4.19	0.083
E2F8	0.13	3.728	2.535
E4F1	16.375	21.212	14.044
EAF1	18.283	13.031	3.718
EAF2	2.595	0.815	2.687
EAPP	60.955	25.285	19.157
EARS2	7.885	8.025	8.272
EBAG9	9.348	5.366	9.872
EBF1	0.066	2.477	6.915
EBF2	0.0	0.017	4.418
EBF3	0.074	0.239	6.626
EBF4	2.621	29.869	3.604
EBI3	0.038	0.665	0.73
EBLN2	14.01	4.47	1.203
EBNA1BP2	5.024	9.617	13.427
EBP	8.325	9.764	34.584
EBPL	12.65	17.204	4.147
ECD	26.728	14.844	8.865
ECE1	27.105	10.221	58.865
ECE2	0.091	2.026	2.003
ECEL1	0.007	2.858	0.031
ECH1	56.946	90.018	686.141
ECHDC1	6.273	5.62	10.965
ECHDC2	17.034	6.324	12.157
ECHDC3	0.81	3.988	49.408
ECHS1	12.813	59.037	174.414
ECI1	6.727	33.559	96.133
ECI2	18.979	22.723	34.879
ECM1	0.279	4.888	15.424
ECM2	0.504	0.573	7.805
ECSCR	0.244	4.32	16.93
ECSIT	25.307	68.851	109.067
ECT2	0.448	9.717	0.846
ECT2L	1.298	0.066	0.292
EDA	2.963	2.225	7.86
EDA2R	0.065	2.548	0.158
EDAR	22.813	0.0	0.013
EDARADD	0.407	0.948	0.108
EDC3	9.194	20.73	5.782
EDC4	56.228	39.649	13.636
EDDM3A	0.0	0.0	0.0
EDDM3B	0.0	0.0	0.026
EDEM1	48.33	3.325	3.046
EDEM2	11.88	4.704	7.703
EDEM3	12.669	3.357	6.545
EDF1	85.782	206.002	165.935
EDIL3	0.0	6.625	4.581
EDN1	3.428	3.791	4.481
EDN2	0.026	0.126	0.053
EDN3	0.244	0.557	0.0
EDNRA	0.01	2.369	23.119
EDNRB	0.009	9.036	25.986
EDRF1	14.357	5.807	2.96
EEA1	6.201	3.811	4.902
EED	5.595	3.887	3.634
EEF1A1	1349.26	987.88	204.923
EEF1A2	0.117	151.399	850.014
EEF1AKMT1	1.848	3.947	4.824
EEF1B2	197.799	138.388	45.994
EEF1D	86.051	43.148	78.604
EEF1E1	7.992	8.145	8.883
EEF1G	408.845	517.42	78.385
EEF2	1230.34	1279.38	1102.34
EEF2K	11.809	3.464	20.126
EEF2KMT	4.496	2.256	4.074
EEFSEC	14.745	28.446	14.483
EEPD1	1.492	11.337	2.978
EFCAB1	0.0	0.308	0.018
EFCAB10	8.574	0.02	0.018
EFCAB11	0.226	0.78	0.495
EFCAB12	0.671	0.305	0.12
EFCAB13	3.314	0.347	0.76
EFCAB14	28.795	13.362	21.106
EFCAB2	0.807	5.028	1.962
EFCAB3	0.0	0.0	0.006
EFCAB5	0.449	0.259	0.08
EFCAB6	0.112	0.279	0.294
EFCAB7	2.235	6.488	4.635
EFCAB8	0.682	0.0	0.015
EFCAB9	0.0	0.0	0.0
EFCC1	0.23	0.12	1.125
EFEMP1	0.0	2.791	72.201
EFEMP2	2.203	13.04	39.293
EFHB	0.378	0.553	0.457
EFHC1	3.421	7.71	2.308
EFHC2	2.646	1.041	3.323
EFHD1	0.7	11.643	7.524
EFHD2	23.074	20.934	13.118
EFL1	4.43	7.601	4.425
EFNA1	1.322	2.26	16.326
EFNA2	0.0	22.703	0.0
EFNA3	0.111	8.494	1.196
EFNA4	1.415	3.021	2.991
EFNA5	0.0	1.21	4.525
EFNB1	0.455	39.843	29.509
EFNB2	0.151	22.239	11.108
EFNB3	0.0	41.175	0.636
EFR3A	19.782	1.919	15.542
EFR3B	0.156	8.14	1.415
EFS	0.0	107.876	6.396
EFTUD2	29.056	23.392	18.488
EGF	0.007	0.107	3.307
EGFL6	0.0	0.304	0.009
EGFL7	0.168	6.192	67.937
EGFL8	7.285	12.011	7.643
EGFLAM	0.0	0.148	1.325
EGFR	0.0	53.859	3.283
EGLN1	8.135	14.791	32.229
EGLN3	0.044	6.095	29.867
EGR1	1.273	20.697	140.968
EGR2	0.3	0.349	9.184
EGR3	0.097	0.437	9.431
EGR4	0.0	0.137	0.491
EHBP1	5.341	12.996	7.13
EHBP1L1	37.344	3.873	23.748
EHD1	21.34	15.351	11.303
EHD2	0.049	8.154	41.513
EHD3	2.008	3.108	7.962
EHD4	7.12	1.551	42.039
EHF	0.01	0.0	0.057
EHHADH	0.145	0.353	5.23
EHMT1	11.597	9.894	4.433
EHMT2	15.539	63.814	6.277
EI24	17.604	38.061	24.319
EID1	58.982	87.225	322.732
EID2	11.698	6.099	11.653
EID2B	2.27	6.246	3.29
EID3	9.943	1.601	1.632
EIF1	843.643	316.421	283.385
EIF1AD	26.558	6.534	8.294
EIF1AX	23.216	21.52	22.293
EIF1AY	8.572	6.666	37.791
EIF1B	66.114	80.446	186.521
EIF2A	67.372	29.668	24.573
EIF2AK1	30.852	33.957	19.377
EIF2AK2	13.623	10.115	5.998
EIF2AK3	20.203	4.424	3.346
EIF2AK4	6.356	4.853	5.605
EIF2B1	25.726	20.688	14.094
EIF2B2	9.071	20.602	10.816
EIF2B3	6.349	9.323	17.965
EIF2B4	12.925	15.954	9.18
EIF2B5	30.226	13.733	11.981
EIF2D	38.468	15.382	13.473
EIF2S1	7.703	11.78	15.416
EIF2S2	19.846	20.149	26.105
EIF2S3	79.824	40.36	26.029
EIF3A	69.51	46.709	40.244
EIF3B	29.683	12.066	13.436
EIF3C	52.162	76.036	62.087
EIF3CL	25.199	43.189	19.441
EIF3D	125.562	85.4	28.176
EIF3E	139.081	59.253	33.388
EIF3F	34.566	43.555	12.965
EIF3G	185.232	164.827	105.581
EIF3H	106.244	134.391	32.057
EIF3I	66.544	140.289	107.566
EIF3J	22.31	19.923	27.881
EIF3K	185.671	149.178	374.391
EIF3L	224.558	477.101	47.199
EIF3M	51.177	27.901	23.435
EIF4A1	208.445	241.045	79.827
EIF4A2	274.405	123.84	117.276
EIF4A3	18.144	50.703	27.8
EIF4B	176.754	91.599	42.785
EIF4E	2.303	2.905	3.85
EIF4E1B	0.052	0.039	0.016
EIF4E2	10.237	11.2	9.821
EIF4E3	11.629	3.247	15.668
EIF4EBP1	2.464	65.344	62.539
EIF4EBP2	27.75	52.83	34.538
EIF4EBP3	30.281	10.846	21.738
EIF4ENIF1	8.397	10.015	6.668
EIF4G1	40.873	20.682	81.422
EIF4G2	150.994	266.403	116.414
EIF4G3	7.055	20.256	12.902
EIF4H	119.979	72.87	90.584
EIF5	71.16	38.245	31.689
EIF5A	95.135	66.734	139.036
EIF5A2	1.714	0.644	3.049
EIF5AL1	13.251	9.051	8.515
EIF5B	21.968	20.364	62.353
EIF6	20.417	56.539	26.238
ELAC1	2.39	1.072	2.391
ELAC2	20.799	8.905	13.309
ELANE	17.665	0.031	3.425
ELAVL1	10.278	30.951	18.651
ELAVL2	0.0	10.445	0.04
ELAVL3	0.009	321.461	0.11
ELAVL4	0.006	53.164	0.175
ELF1	165.408	3.993	12.702
ELF2	24.376	11.95	5.809
ELF3	1.157	0.014	0.054
ELF4	17.355	0.684	1.926
ELF5	0.0	0.0	0.0
ELFN2	0.211	8.443	0.062
ELK1	15.016	15.563	13.316
ELK3	20.03	1.596	11.142
ELK4	35.587	3.876	6.278
ELL	9.629	4.261	9.869
ELL2	4.723	0.745	11.373
ELL3	1.334	0.919	0.684
ELMO1	22.955	32.653	3.173
ELMO2	20.511	22.275	8.324
ELMO3	4.442	0.911	1.226
ELMOD1	0.0	2.783	2.896
ELMOD2	5.166	3.932	6.069
ELMOD3	8.031	4.498	3.236
ELMSAN1	15.226	6.259	5.997
ELN	0.0	6.208	34.576
ELOA	11.026	17.959	12.088
ELOA2	0.0	0.0	0.011
ELOA3	0.061	0.0	0.018
ELOB	38.405	191.907	198.935
ELOC	8.529	21.958	44.49
ELOCP28	0.178	0.086	0.017
ELOF1	13.615	81.757	47.449
ELOVL1	16.159	8.306	22.617
ELOVL2	0.007	30.468	1.58
ELOVL3	0.031	0.041	0.2
ELOVL4	0.219	3.846	0.659
ELOVL5	38.31	33.409	18.186
ELOVL6	0.999	5.669	5.845
ELOVL7	0.033	0.397	0.582
ELP2	25.027	17.669	8.355
ELP3	4.45	8.016	7.87
ELP4	8.628	16.318	10.432
ELP5	10.933	35.111	24.273
ELP6	3.76	5.226	10.226
ELSPBP1	0.0	0.0	0.0
EMB	65.835	0.08	3.232
EMC1	8.707	8.509	6.538
EMC10	33.393	64.967	127.697
EMC2	5.433	4.044	21.005
EMC3	10.152	10.587	32.942
EMC4	19.874	22.142	29.353
EMC6	15.381	16.538	81.314
EMC7	22.964	20.54	73.482
EMC8	10.575	11.758	13.098
EMC9	5.69	23.387	9.461
EMCN	0.008	0.43	14.682
EMD	32.404	38.767	38.62
EME1	1.352	2.73	0.13
EME2	11.21	2.535	3.25
EMID1	0.164	7.718	0.344
EMILIN1	0.48	1.722	26.242
EMILIN2	1.587	0.311	2.114
EMILIN3	0.102	5.951	4.682
EML1	0.0	2.681	4.635
EML2	9.132	5.671	10.36
EML3	35.135	3.803	9.689
EML4	66.769	6.452	2.291
EML5	4.679	0.931	0.153
EML6	0.13	0.304	0.078
EMP1	0.276	1.491	36.338
EMP2	1.692	4.269	22.12
EMP3	91.668	16.085	54.822
EMSY	8.5	13.294	2.769
EMX1	0.04	0.144	0.071
EMX2	0.0	3.276	0.601
EN1	0.0	0.0	0.0
EN2	0.0	0.009	0.178
ENAH	0.03	51.921	18.926
ENAM	1.412	0.0	2.015
ENC1	10.989	54.199	3.099
ENDOD1	2.753	1.084	9.757
ENDOG	9.07	15.334	58.879
ENDOU	0.058	0.291	0.489
ENDOV	1.843	7.271	1.67
ENG	9.85	8.519	289.572
ENGASE	36.521	4.63	13.78
ENHO	0.079	70.979	2.737
ENKD1	2.475	14.464	11.469
ENKUR	0.012	2.565	0.029
ENO1	96.116	169.081	58.66
ENO2	31.668	100.516	9.833
ENO3	25.716	2.183	131.404
ENO4	0.017	0.484	0.094
ENOPH1	25.09	48.613	18.338
ENOSF1	19.829	1.741	13.082
ENOX1	0.024	25.326	1.88
ENOX2	6.116	1.685	4.694
ENPEP	0.085	0.119	2.112
ENPP1	0.057	0.172	1.239
ENPP2	2.005	1.073	1.774
ENPP3	0.618	0.12	0.134
ENPP4	3.688	2.823	18.313
ENPP5	0.142	0.837	9.206
ENPP6	0.0	0.188	0.058
ENPP7	0.0	0.002	0.011
ENSA	23.949	20.548	37.95
ENTHD1	0.143	0.0	0.03
ENTPD1	3.303	1.181	1.946
ENTPD2	0.001	1.832	1.756
ENTPD3	0.129	2.102	0.183
ENTPD4	78.76	7.246	18.811
ENTPD5	7.138	1.337	3.306
ENTPD6	29.837	19.056	68.515
ENTPD7	1.573	0.494	0.881
ENTPD8	0.18	0.071	0.014
ENY2	11.276	8.994	10.564
EOGT	4.307	0.595	11.089
EOMES	0.709	2.324	0.087
EP300	60.126	38.791	10.52
EP400	25.488	16.118	5.459
EP400NL	5.914	1.918	1.773
EPAS1	0.115	5.423	98.392
EPB41	121.683	15.289	4.657
EPB41L1	0.056	13.367	6.543
EPB41L2	1.967	5.634	11.184
EPB41L3	3.284	16.035	5.523
EPB41L4A	4.327	1.638	4.641
EPB41L4B	0.0	0.485	9.337
EPB41L5	2.54	13.026	1.748
EPB42	7.648	0.726	0.01
EPC1	28.226	14.782	4.145
EPC2	20.348	17.352	6.34
EPCAM	0.034	4.564	0.268
EPDR1	0.08	6.512	13.45
EPG5	14.584	6.929	4.45
EPGN	1.47	0.025	0.0
EPHA1	12.204	0.521	0.233
EPHA10	0.011	0.877	0.102
EPHA2	0.071	3.258	9.337
EPHA3	0.013	20.156	2.699
EPHA4	3.541	16.436	13.589
EPHA5	0.0	19.429	0.336
EPHA6	0.0	0.266	0.022
EPHA7	0.0	2.973	6.01
EPHA8	0.0	1.683	0.0
EPHB1	0.019	9.227	0.083
EPHB2	0.014	32.273	1.261
EPHB3	0.028	3.464	0.571
EPHB4	7.123	6.228	9.844
EPHB6	35.188	5.689	4.557
EPHX1	30.927	18.346	34.504
EPHX2	35.782	2.352	7.226
EPHX3	0.045	1.282	0.122
EPHX4	0.01	0.28	0.848
EPM2A	3.484	1.744	8.162
EPM2AIP1	17.281	20.44	13.667
EPN1	15.943	119.396	111.686
EPN2	2.126	29.209	38.518
EPN3	0.111	0.101	11.29
EPO	0.0	0.205	0.0
EPOR	1.846	5.693	9.352
EPPIN	0.0	0.002	0.0
EPPIN-WFDC6	0.0	0.0	0.0
EPRS	21.449	15.692	18.885
EPS15	14.784	13.634	18.623
EPS15L1	19.457	46.422	46.252
EPS8	1.239	9.275	12.122
EPS8L1	0.242	1.075	0.579
EPS8L2	0.517	0.599	1.193
EPS8L3	0.093	0.0	0.01
EPSTI1	6.316	0.184	1.224
EPX	0.346	0.011	0.0
EPYC	0.0	0.0	0.106
EQTN	0.0	0.724	0.025
ERAL1	13.749	41.542	23.599
ERAP1	36.755	3.898	5.885
ERAP2	54.054	2.451	0.578
ERAS	0.102	0.368	0.0
ERBB2	1.623	9.281	47.177
ERBB3	0.349	0.805	2.983
ERBB4	0.0	15.662	4.428
ERBIN	39.327	11.263	8.484
ERC1	11.778	9.061	9.963
ERC2	0.0	5.058	0.439
ERCC1	26.175	34.335	39.672
ERCC2	7.309	15.954	7.643
ERCC3	20.651	13.114	6.559
ERCC4	3.458	1.488	2.589
ERCC5	42.347	13.261	9.245
ERCC6	5.411	3.333	2.622
ERCC6L	0.353	1.519	0.01
ERCC6L2	10.065	3.454	1.864
ERCC8	2.772	4.682	2.352
EREG	0.416	0.0	0.268
ERF	20.967	22.694	29.479
ERFE	0.073	2.257	0.097
ERG	0.27	0.302	4.265
ERGIC1	13.549	10.425	15.57
ERGIC2	7.917	5.236	15.752
ERGIC3	31.279	73.861	16.213
ERH	31.101	82.406	86.803
ERI1	1.742	3.656	1.525
ERI2	0.682	3.966	2.701
ERI3	17.028	45.345	23.041
ERICH1	8.33	3.008	2.243
ERICH2	0.0	0.469	3.885
ERICH3	0.01	1.842	0.053
ERICH4	0.129	0.015	0.033
ERICH5	0.0	0.371	0.201
ERICH6	0.257	0.014	0.05
ERICH6B	5.066	0.01	0.01
ERLEC1	16.802	10.663	24.598
ERLIN1	1.826	6.555	3.306
ERLIN2	6.893	4.547	5.701
ERMAP	4.473	2.224	1.812
ERMARD	17.683	9.452	4.538
ERMN	33.901	0.006	0.078
ERMP1	9.491	2.705	7.931
ERN1	13.946	1.756	1.947
ERN2	0.004	0.032	0.012
ERO1A	20.426	4.602	5.185
ERO1B	10.774	2.673	2.86
ERP27	22.474	0.174	0.199
ERP29	55.425	23.3	23.06
ERP44	12.643	9.625	19.194
ERRFI1	0.965	3.627	10.065
ERV3-1	5.735	39.619	2.349
ERVFRD-1	0.227	0.0	0.056
ERVW-1	0.431	0.005	0.03
ESAM	0.3	8.387	29.468
ESCO1	8.025	3.534	4.256
ESCO2	0.061	2.079	0.022
ESD	35.055	61.429	75.646
ESF1	7.156	8.75	13.077
ESM1	0.0	0.013	0.469
ESPL1	0.209	7.419	0.052
ESPN	2.752	0.592	0.097
ESPNL	0.041	0.029	0.489
ESR1	1.74	0.004	0.329
ESR2	2.079	0.183	0.064
ESRP1	0.0	0.012	0.638
ESRP2	19.489	0.105	0.22
ESRRA	7.476	4.783	147.732
ESRRB	0.125	0.024	3.269
ESRRG	0.0	1.007	5.025
ESX1	0.0	0.0	0.0
ESYT1	50.577	12.785	11.4
ESYT2	76.985	5.525	24.985
ESYT3	0.036	0.169	0.288
ETAA1	12.682	3.963	4.192
ETF1	26.928	6.587	30.499
ETFA	8.447	9.653	60.862
ETFB	16.713	87.667	217.186
ETFBKMT	3.46	0.257	2.35
ETFDH	11.27	3.344	72.285
ETFRF1	20.876	7.927	48.511
ETHE1	16.544	26.174	11.678
ETNK1	6.264	8.216	4.392
ETNK2	1.279	5.166	2.685
ETNPPL	0.006	0.425	5.223
ETS1	474.282	5.576	19.025
ETS2	6.34	1.897	27.998
ETV1	0.06	8.742	6.664
ETV2	0.186	1.128	0.321
ETV3	6.637	2.3	5.362
ETV3L	0.37	0.136	0.11
ETV4	0.343	1.601	0.268
ETV5	0.007	5.025	1.033
ETV6	13.023	6.15	2.895
ETV7	0.082	0.018	0.156
EVA1A	0.039	0.082	0.167
EVA1B	1.019	2.535	11.064
EVA1C	2.615	1.936	6.659
EVC	0.049	6.066	6.402
EVC2	0.028	1.525	1.904
EVI2A	29.803	1.099	1.208
EVI2B	180.288	1.338	1.983
EVI5	0.555	2.453	5.266
EVI5L	5.034	15.756	20.316
EVL	156.855	56.808	8.103
EVPL	0.122	0.009	0.03
EVPLL	0.0	0.043	0.023
EVX1	0.008	0.0	0.029
EVX2	0.0	0.0	0.0
EWSR1	64.655	34.932	23.316
EXD1	0.0	0.0	0.0
EXD2	3.171	16.858	8.297
EXD3	4.248	5.406	3.852
EXO1	0.192	6.304	0.044
EXO5	4.678	3.426	1.916
EXOC1	12.398	12.165	8.846
EXOC2	18.69	10.576	8.217
EXOC3	28.195	14.271	11.84
EXOC3-AS1	0.826	0.979	7.415
EXOC3L1	0.043	1.03	2.968
EXOC3L4	0.0	0.028	0.415
EXOC4	8.696	15.474	5.153
EXOC5	5.614	14.883	7.732
EXOC6	4.2	3.993	2.797
EXOC6B	3.588	10.642	11.993
EXOC7	28.004	35.501	19.022
EXOC8	15.941	2.18	6.6
EXOG	9.681	2.802	11.888
EXOSC1	5.302	5.402	6.321
EXOSC10	32.623	29.712	8.548
EXOSC2	23.89	10.799	6.015
EXOSC3	9.934	6.495	5.259
EXOSC4	1.914	8.788	15.704
EXOSC5	11.128	24.467	12.212
EXOSC6	24.922	6.824	8.674
EXOSC7	7.49	9.514	55.092
EXOSC8	17.85	13.42	8.901
EXOSC9	24.825	7.069	6.779
EXPH5	2.18	0.18	0.444
EXT1	3.352	5.477	4.026
EXT2	9.349	15.071	14.172
EXTL1	0.05	0.699	2.128
EXTL2	0.939	6.908	4.735
EXTL3	1.656	10.114	19.834
EYA1	0.0	2.313	2.718
EYA2	0.006	4.028	2.105
EYA3	7.091	10.125	5.623
EYA4	0.0	0.089	2.885
EYS	1.139	0.137	0.013
EZH1	59.041	34.539	18.138
EZH2	4.3	41.272	0.559
EZR	104.303	133.372	191.087
F10	0.195	0.175	27.89
F11	0.207	0.0	0.007
F11R	10.185	4.618	14.027
F12	0.039	1.664	0.15
F13A1	0.058	0.057	8.886
F13B	0.0	0.012	0.0
F2	0.067	0.195	0.056
F2R	0.963	42.478	4.487
F2RL1	0.996	2.769	0.758
F2RL2	0.361	0.299	0.138
F2RL3	0.017	0.041	3.946
F3	0.015	12.212	13.856
F5	6.462	0.158	2.102
F7	0.04	0.433	0.015
F8	0.171	0.429	24.372
F9	0.0	0.0	0.004
FA2H	0.053	0.827	0.527
FAAH	3.068	7.638	6.751
FAAH2	8.854	0.684	0.217
FAAP100	13.094	21.738	8.415
FAAP20	5.147	6.267	5.086
FAAP24	1.7	1.924	0.608
FABP1	0.0	0.031	0.228
FABP12	0.0	0.0	0.0
FABP2	0.052	0.0	1.021
FABP3	0.598	9.933	3348.25
FABP4	0.0	0.02	207.986
FABP5	1.253	35.329	36.003
FABP6	0.0	3.032	0.361
FABP7	0.0	174.573	1.097
FABP9	0.0	0.0	0.046
FADD	10.826	5.225	10.46
FADS1	0.458	29.699	13.903
FADS2	0.161	58.498	8.536
FADS3	0.665	10.318	12.647
FADS6	0.208	0.148	0.062
FAF1	15.961	20.428	19.084
FAF2	15.868	11.465	7.705
FAH	0.902	0.769	3.888
FAHD1	2.916	8.299	28.926
FAHD2A	5.823	9.62	6.613
FAHD2B	3.202	3.275	5.21
FAIM	2.603	2.556	2.164
FAIM2	0.0	16.253	21.164
FAM102A	285.165	9.125	9.04
FAM102B	3.949	4.326	1.684
FAM103A1	12.144	3.937	6.952
FAM104A	32.448	12.366	11.523
FAM104B	1.729	11.764	10.181
FAM105A	21.695	0.603	0.5
FAM106A	2.325	1.375	1.504
FAM107A	0.008	72.058	35.345
FAM107B	69.123	13.685	1.947
FAM109A	0.769	4.5	6.927
FAM109B	0.323	1.305	6.316
FAM110A	2.41	21.968	2.818
FAM110B	0.081	19.82	9.362
FAM110C	0.034	0.178	2.344
FAM110D	0.028	0.223	7.083
FAM111A	22.103	8.37	3.727
FAM111B	0.053	3.474	0.059
FAM114A1	0.053	3.301	10.132
FAM114A2	3.348	2.255	6.018
FAM117A	37.813	4.979	10.332
FAM117B	31.559	15.177	1.701
FAM118A	20.818	2.155	6.215
FAM118B	2.594	4.961	6.058
FAM120A	42.441	17.102	33.974
FAM120AOS	19.669	8.624	19.104
FAM120B	15.243	11.675	8.032
FAM120C	5.584	6.504	2.282
FAM122A	7.344	10.922	10.015
FAM122B	31.168	12.264	7.717
FAM122C	3.664	2.321	1.063
FAM124A	0.071	6.462	3.053
FAM124B	0.328	0.333	0.457
FAM126A	3.393	3.195	5.042
FAM126B	9.562	2.507	1.123
FAM127A	11.984	297.979	334.156
FAM127B	16.76	169.623	42.682
FAM127C	0.085	13.04	14.412
FAM129A	2.127	0.157	103.982
FAM129B	1.328	11.134	34.137
FAM129C	0.459	0.197	0.038
FAM131A	1.69	6.678	11.068
FAM131B	0.027	19.646	0.185
FAM131C	0.0	8.753	10.782
FAM133A	0.066	0.547	0.26
FAM133B	14.968	4.737	5.484
FAM134A	30.533	28.487	13.473
FAM134B	29.209	5.264	83.249
FAM134C	32.837	16.178	13.903
FAM135A	2.025	2.069	2.202
FAM135B	0.003	0.46	0.018
FAM136A	22.168	11.233	9.953
FAM138A	0.0	0.0	0.038
FAM138C	0.0	0.0	0.025
FAM13A	9.596	7.527	3.45
FAM13B	14.504	12.073	8.658
FAM13C	0.0	1.722	1.638
FAM149A	0.094	2.792	2.937
FAM149B1	8.846	6.882	5.625
FAM151A	0.103	0.032	0.664
FAM151B	0.194	1.125	0.397
FAM153A	27.967	0.05	1.035
FAM153B	14.801	0.12	0.693
FAM153C	9.931	0.083	0.629
FAM155A	0.0	2.405	0.192
FAM155B	0.0	3.091	132.278
FAM156B	10.796	6.376	6.081
FAM157A	0.376	0.034	0.079
FAM159A	30.62	0.36	0.014
FAM159B	0.102	0.283	0.042
FAM160A1	0.641	0.033	2.159
FAM160A2	18.074	13.711	8.128
FAM160B1	16.639	6.222	7.931
FAM160B2	23.337	12.928	12.153
FAM161A	1.196	5.574	0.729
FAM161B	4.76	8.394	1.89
FAM162A	12.863	8.106	81.036
FAM162B	0.0	1.311	3.564
FAM163A	0.015	0.058	0.216
FAM163B	0.0	4.462	1.029
FAM166A	0.981	0.472	0.463
FAM166B	0.234	0.171	3.158
FAM167A	0.102	1.618	0.045
FAM167A-AS1	0.014	0.064	0.632
FAM167B	0.758	4.071	6.101
FAM168A	14.767	47.053	13.49
FAM168B	44.98	42.219	32.606
FAM169A	10.873	1.571	1.88
FAM170A	0.031	0.041	0.041
FAM170B	0.0	0.0	0.008
FAM171A1	2.999	36.927	10.125
FAM171A2	0.102	62.978	1.555
FAM171B	0.026	27.304	0.901
FAM172A	13.178	18.362	7.064
FAM173A	3.731	9.81	24.435
FAM173B	2.331	4.648	9.513
FAM174A	2.439	5.463	21.908
FAM174B	0.713	1.777	3.328
FAM175A	9.346	1.614	1.528
FAM175B	10.014	7.268	6.151
FAM177A1	8.13	5.182	9.9
FAM177B	0.075	0.032	0.055
FAM178B	0.399	0.191	0.186
FAM180A	0.0	0.011	2.831
FAM180B	0.295	0.135	0.231
FAM181A	0.0	2.109	0.005
FAM181B	0.0	8.301	5.234
FAM182A	0.06	1.18	0.06
FAM182B	0.183	3.354	0.105
FAM183A	0.025	0.075	0.016
FAM183BP	4.33	0.0	0.029
FAM184A	2.841	3.421	0.974
FAM184B	9.704	0.842	0.064
FAM185A	3.179	2.888	2.913
FAM186A	0.114	0.003	0.011
FAM186B	1.691	0.048	0.131
FAM187A	0.006	0.843	0.574
FAM187B	0.0	0.0	0.052
FAM189A1	0.525	1.49	0.893
FAM189A2	0.005	3.868	8.609
FAM189B	5.179	11.554	5.215
FAM192A	43.387	54.617	28.59
FAM193A	22.574	29.216	8.108
FAM193B	49.322	30.46	11.931
FAM196A	0.02	1.299	0.016
FAM196B	1.934	1.15	0.072
FAM197Y1	0.0	0.0	0.0
FAM197Y5	0.0	0.0	0.0
FAM198A	0.18	1.143	1.083
FAM198B	0.027	7.167	18.472
FAM199X	11.869	5.891	7.874
FAM19A1	1.645	1.412	0.008
FAM19A2	0.785	1.304	0.09
FAM19A3	0.0	0.0	0.0
FAM19A4	0.0	0.049	0.01
FAM19A5	0.0	19.669	2.539
FAM200A	1.716	8.586	6.741
FAM200B	8.461	10.605	8.28
FAM201A	0.828	0.34	0.894
FAM204A	7.038	4.448	7.717
FAM205A	0.031	0.0	0.001
FAM205BP	0.0	0.0	0.0
FAM206A	7.14	10.91	9.61
FAM207A	3.501	4.978	12.076
FAM208A	24.811	6.819	6.741
FAM208B	26.3	6.701	5.534
FAM209A	13.713	16.795	17.034
FAM209B	3.902	0.056	0.677
FAM20A	0.116	0.216	0.934
FAM20B	7.674	8.291	28.165
FAM20C	0.074	11.764	10.288
FAM210A	1.681	2.749	12.31
FAM210B	12.754	58.588	26.177
FAM212A	0.616	1.132	3.515
FAM212B	0.296	2.912	9.6
FAM213A	6.47	26.174	85.2
FAM213B	8.563	13.528	7.687
FAM214A	44.596	22.078	16.956
FAM214B	1.045	16.352	7.158
FAM216A	10.823	8.3	5.149
FAM216B	0.0	0.051	11.699
